0000000000,11627047200100A
000000365d,99273424429838A
0000003688,69969694129840A
00000036ab,47392520629843A
00000036d6,62068957229844A
0000003701,17322184229845A
000000372c,43332900829846A
0000003757,05802324029847A
0000003782,02231848229848A
00000037ab,44355622129850A
00000037d5,28335748329851A
00000037ff,86081286629855A
000000382b,71782860229856A
0000003857,45213210429860A
000000387c,24638740429861A
00000038a5,22855131629862A
00000038ce,97428491829863A
00000038f7,11554884329866A
0000003925,59270660029867A
0000003953,51034507129868A
0000003981,36809479629870A
00000039a7,75755904729871A
00000039d2,63423881929873A
00000039fc,25001512429874A
0000003a26,46998390529875A
0000003a50,35942767529876A
0000003a7a,89582727229877A
0000003aa4,56954409529879B
0000003ace,64882476643123A
0000003afc,20107023543124A
0000003b22,06283770743130A
0000003b4e,87773404543135A
0000003b7a,85602189443200A
0000003b9f,66449658243201A
0000003bcc,78743597843202A
0000003bf9,95321336943204A
0000003c26,49098399943205A
0000003c54,80629248843215A
0000003c79,62007216743216A
0000003ca5,87075063943217A
0000003cca,91636148443219B
0000003cef,23457172843220A
0000003d1a,52958663343226A
0000003d45,69155758543227A
0000003d6e,40199524943228A
0000003d99,96353042643231A
0000003dc4,27772238043232A
0000003df0,03975900743234A
0000003e1a,08013619243235A
0000003e48,97886426843236A
0000003e74,41217008943237A
0000003e9f,39117912143238A
0000003ecd,26781513643239B
0000003ef9,60518378143240A
0000003f27,39310066343241A
0000003f55,85956737743242A
0000003f83,35849542443243A
0000003fb0,44968181743244A
0000003fdd,00394130143245A
000000400b,26126189643246A
0000004033,27739456943247A
0000004061,86378491243248A
000000408f,40919847443249B
00000040ba,82124824743250A
00000040e4,38071851443251A
0000004112,40562343843255A
0000004140,00479097243256A
000000416b,05333202143257A
0000004198,66469612643258A
00000041c6,29317403643259B
00000041f2,73756731743260A
0000004220,16799243043261A
000000424e,49547667643262A
000000427c,72195596143263A
00000042aa,59398358743264A
00000042d8,13352306843265A
0000004306,22797241443267A
0000004334,94268123543268A
0000004362,84801987543269B
0000004390,50645347843271A
00000043be,08170529543272A
00000043ec,85606826643280A
0000004416,48940790343289B
000000443f,66996049843300A
0000004464,78890014643305A
0000004492,67165858643310A
00000044b7,60991890843312A
00000044e5,25083811343313A
0000004510,27139591943314A
000000453d,92786860143320A
0000004567,59471794443324A
0000004593,04130218243325A
00000045bf,80235118643326A
00000045eb,35881027143330A
0000004610,59335606943331A
0000004635,05257657243340A
0000004661,82537325443341A
000000468d,70833838643350A
00000046ba,31083907143351A
00000046e7,99637181143352A
0000004714,95873945543360A
000000473d,22439036043361A
0000004766,37506288143400A
000000478e,78696215743401A
00000047bb,24129695143405A
00000047e4,24417765943410A
000000480c,89570244543415A
0000004834,54585917643420A
000000485e,01120019443425A
0000004888,25957759543450A
00000048aa,63159496343453A
00000048cc,41581418943456A
00000048ee,60166194243458A
0000004910,49748782343460A
000000493e,17955660143496A
000000496c,42132630443499B
0000004999,37437700943500A
00000049c6,73923797643501A
00000049f2,03234810143502A
0000004a1e,70905992843510A
0000004a4b,79570453043520A
0000004a77,75395285943600A
0000004a9a,78193610243605A
0000004abd,73682752543610A
0000004ae9,69845609143611A
0000004b15,69626513443620A
0000004b39,36564124443621A
0000004b5d,13666640543622A
0000004b81,12859989143631A
0000004bae,54140701543632A
0000004bdb,30814981343633A
0000004c08,51963402743634A
0000004c35,63184216443635A
0000004c62,85164806343640A
0000004c8d,54771402443641A
0000004cb8,85731493543644A
0000004ce6,48100538543645A
0000004d14,70244574743651A
0000004d3e,42866354743652A
0000004d68,54472248743653A
0000004d92,77595614043659B
0000004dba,06405973343750A
0000004de2,23963791843752A
0000004e0c,01181832443760A
0000004e35,29627363843761A
0000004e62,17890375543770A
0000004e90,43964024043771A
0000004ebe,30486336443772A
0000004eec,17925367043773A
0000004f1a,17202976643774A
0000004f48,67819956343800A
0000004f73,08613527843810A
0000004fa0,67599028643820A
0000004fcd,60177914243825A
0000004ffa,20066728143830A
0000005022,20478659643831A
000000504a,44245425843832A
0000005072,63823535643840A
000000509c,08850606543842A
00000050c1,54503181743843A
00000050ea,87853641543845A
0000005118,75903604043846A
0000005144,41725928443847A
0000005171,46979317943848A
0000005198,95142778243850A
00000051c5,11196093643855A
00000051f2,78397202543860A
000000521f,75001387943865A
000000524c,94977379943870A
0000005274,32224166643880A
00000052a2,94032091943886A
00000052cd,67193126243887A
00000052f8,31057442943888A
0000005323,48762561343999B
000000534e,93310378844005A
0000005379,73164479744010A
00000053a2,51431494044015A
00000053cc,77011777844020A
00000053f5,44055388744021A
000000541d,51955233644025A
0000005446,25662489444050A
0000005470,06077788044055A
000000549e,95741273644100A
00000054bf,95657012644110A
00000054eb,86320745344111A
0000005518,22201453544120A
0000005544,84364374244121A
0000005570,03006302244125A
000000559c,65098078244126A
00000055c9,34292742844127A
00000055f4,41486067744128A
000000561e,84277002944130A
0000005645,61393968144132A
0000005671,88363173044133A
000000569a,66618607344135A
00000056c8,01692010044136A
00000056f4,64680044844137A
0000005721,76984474044139B
0000005748,06039054244140A
0000005772,18431270244141A
000000579c,39493173044143A
00000057c6,68962636144144A
00000057f0,35508956544145A
000000581a,85701200444146A
0000005844,23170884744147A
000000586e,00626830044150A
0000005890,77556084944151A
00000058bc,18836467344152A
00000058e8,66867535444153A
0000005914,46902248444155A
0000005940,69047165644156A
000000596c,67233648044160A
000000598e,19768146944180A
00000059b0,56895372944186A
00000059d2,28840692344187A
00000059fa,81775853444188A
0000005a1a,80162330544202A
0000005a3c,46068915844203A
0000005a6a,60658572644204A
0000005a94,72941324744205A
0000005ac0,26831719444206A
0000005aec,75390900344207A
0000005b19,09903309744208A
0000005b46,60684637144210A
0000005b74,90738098944211A
0000005ba2,09755089044212A
0000005bd0,05799158144213A
0000005bfe,42694269944227A
0000005c26,82143954044238A
0000005c53,91618368844300A
0000005c77,08484434944310A
0000005c9e,74447020144312A
0000005cc5,70972723644314A
0000005cec,25624118444316A
0000005d10,12462060744320A
0000005d2b,56699853344322A
0000005d54,70568831644340A
0000005d7b,10040073244345A
0000005da2,72486127944346A
0000005dc9,85693915344360A
0000005df0,44645368744361A
0000005e1e,65527906944363A
0000005e45,36138766844364A
0000005e6c,18195829844365A
0000005e93,65245577244366A
0000005eba,74252419744369B
0000005ee1,64508855944370A
0000005f0e,04498595244372A
0000005f35,59522480744373A
0000005f5c,84842753844376A
0000005f83,21529679544377A
0000005fb1,18611129044378A
0000005fd8,16325901444379B
0000006003,33097729544380A
000000602a,91599550844382A
0000006051,64102272644383A
0000006074,59059326444385A
000000609e,74824319344386A
00000060cb,94963101544388A
00000060e8,13415795744389B
0000006111,94827671944390A
000000613f,34861814944391A
0000006169,36692513244392A
0000006194,75249166644393A
00000061c1,38417813544394A
00000061e6,94600145544397A
000000620b,96260924444500A
0000006239,94144028544602A
0000006262,44433312244603A
000000628b,72140838944604A
00000062b4,11207021944605A
00000062dc,70122257344615A
0000006308,73582788044620A
000000632e,74964657344625A
0000006354,28295956044626A
000000637a,61303812544640A
00000063a5,39252133544650A
00000063cb,91707479944660A
00000063f9,95439059944661A
0000006427,16485679244680A
0000006455,45246233144700A
0000006481,01300562944701A
00000064ae,83171789244715A
00000064d7,97301200244720A
0000006504,70088689344721A
0000006531,89873305944799B
000000655f,58121118744800A
0000006588,37874994144820A
00000065b6,34024567644850A
00000065db,48359788044899B
0000006604,97640526944900A
000000662d,95744512344901A
0000006658,15076971744950A
0000006676,59070332144955A
000000669b,90866243444960A
00000066b9,09783553744970A
00000066e4,28835393744979B
000000670b,60889600245000A
0000006737,79778016345005A
0000006763,70645431745020A
000000678f,77991495245100A
00000067b1,70364827445108A
00000067de,60065283045110A
0000006801,87381641845111A
000000682c,73635732045112A
000000684f,51407422245113A
0000006874,45028341045114A
000000689f,41361244045116A
00000068ca,04801773545119B
00000068f5,30295738345120A
0000006918,24850139145121A
0000006945,67351846645123A
000000696a,79385259445126A
000000698f,78477422345130A
00000069bc,68169562645135A
00000069e9,93527109045136A
0000006a14,51690025745150A
0000006a42,39391313045160A
0000006a6d,05160477345170A
0000006a98,48544507645190A
0000006ac3,36479026745300A
0000006aeb,58385930445303A
0000006b17,60119460945305A
0000006b41,96073524245307A
0000006b69,74500312045308A
0000006b96,15462509645309B
0000006bc3,55045285645315A
0000006bf0,14512455845317A
0000006c1b,84098414045320A
0000006c47,18512402345321A
0000006c73,32468418845327A
0000006ca0,78362533345330A
0000006cca,11929463545331A
0000006cf4,24793628245332A
0000006d20,38494184045333A
0000006d4d,74881405745334A
0000006d79,41235279945335A
0000006da5,95790147445337A
0000006dd1,23665468345338A
0000006dfe,18681267145339B
0000006e2b,44844964945340A
0000006e53,16759874745341A
0000006e7f,33073220645342A
0000006eac,03728829445345A
0000006ed3,23509649045355A
0000006ef9,30288680345378A
0000006f21,16359252945379B
0000006f4b,36599549445380A
0000006f73,90900769545381A
0000006f9f,97339134345382A
0000006fcd,58093528045383A
0000006ff9,89444080745384A
0000007024,55729122945385A
0000007050,31233508845386A
000000707e,34166405045387A
00000070a3,19605564845391A
00000070cf,10245366545392A
00000070fd,63991758845395A
0000007125,12881329845397A
0000007151,58173222445400A
000000717a,96362136745402A
00000071a7,30515885245499B
00000071d1,57262830145500A
00000071f3,86289371245505A
0000007215,97827319445520A
0000007243,46487605745540A
000000726c,55422383145541A
0000007295,54591631245550A
00000072c3,39983238345560A
00000072e8,93288157045562A
0000007316,52291829245563A
0000007344,55899878345800A
0000007371,15725844745805A
000000739d,86479210245820A
00000073cb,03699542745825A
00000073f7,19719152145900A
0000007425,25312709845905A
0000007451,56390631545910A
000000747f,72563875245915A
00000074aa,44211631745990A
00000074d3,99103256745999B
00000074fd,18445736146020A
0000007521,23611686346030A
000000754b,86759279659150A
0000007574,60418874359151A
000000759d,43024338159160A
00000075c3,22633410459200A
00000075ec,80695954759300A
000000761a,90627223259320A
000000763e,18888619159325A
0000007662,64636039159350A
0000007684,77243521159400A
00000076a6,82908817759409B
00000076c8,65492245959410A
00000076ea,22319130459412A
0000007713,14329079759414A
0000007735,59497044659425A
000000775b,46783849359426A
0000007781,05901509959430A
00000077a6,77022043259510A
00000077c9,74866297359514A
00000077f1,61767621759515A
0000007814,96616311159525A
0000007842,97612612559610A
0000007861,45047305259612A
0000007885,02193649659614A
00000078af,73718236059618A
00000078d8,69249912759620A
0000007906,27533966059622A
0000007931,14447252959812A
000000795b,94292855059820A
0000007980,53854735082000A
00000079ad,91427883682003A
00000079d5,68669698082009B
00000079ff,59069965782010A
0000007a1e,77916400582013A
0000007a4a,06904198882016A
0000007a70,70503550582017A
0000007a97,25870496982024A
0000007ab6,54802981382030A
0000007ada,23854195382040A
0000007b02,74726428382042A
0000007b2a,63964408082043A
0000007b56,21094619282044A
0000007b7f,28652117982045A
0000007bab,75048308182055A
0000007bcd,72991060782075A
0000007bf6,50233598882085A
0000007c19,64160079982088A
0000007c3f,89370463082101A
0000007c69,60222107582103A
0000007c95,78528860582104A
0000007cc1,50489121682105A
0000007ceb,95541832082106A
0000007d18,69345334482108A
0000007d3b,37335634982120A
0000007d67,21829425082127A
0000007d90,25999073882128A
0000007db8,41711974482131A
0000007de3,58225224782135A
0000007e0f,69306102282136A
0000007e38,53383497882139B
0000007e67,53161988782140A
0000007e89,76179970382143A
0000007eae,24595764182145A
0000007ed5,10781304182150A
0000007ef7,85815637582154A
0000007f23,14239119682157A
0000007f4d,06422280282160A
0000007f74,44402729882163A
0000007f9d,07424880882164A
0000007fc8,88993494182172A
0000007ff1,20913352582175A
0000008013,51098528782180A
000000803b,53167847982190A
000000805e,00139869082205A
0000008085,97803213882232A
00000080af,75521692082239B
00000080d2,68960494682240A
00000080fd,69998997182247A
000000811f,29202588982248A
0000008142,23484637182252A
0000008168,05089832882261A
000000818e,38163503082270A
00000081bb,54225145482271A
00000081e8,15763994582272A
0000008211,03365613582274A
000000823e,95886051682286A
0000008263,99324363682300A
0000008285,21734330782306A
00000082a9,56086975582307A
00000082cd,80905125082308A
00000082f2,28791576082310A
0000008314,67645272282330A
0000008336,85496879182331A
000000835d,70470697582340A
0000008388,21564439682355A
00000083b1,87784437782360A
00000083d8,96498855182365A
00000083ff,17870813882370A
0000008426,89232670782373A
0000008453,58751941182374A
0000008480,43811318682436A
00000084a9,19757350082438A
00000084d7,81945582282441A
0000008504,71228613482465A
0000008532,57615508082480A
000000855f,99390592982482A
000000858a,42373984082485A
00000085b6,69205465582486A
00000085e1,39532421282487A
0000008607,46307733082488A
000000862d,57038579282489B
0000008658,71712977482491A
0000008685,29022635882492A
00000086b2,45821465182495A
00000086d5,48293665082507A
00000086f7,14998485782520A
0000008719,21954824882523A
000000873e,08831769682525A
000000875f,07415690682528A
0000008788,89929585982530A
00000087a8,14914756082533A
00000087c8,84687949582540A
00000087eb,88315754382541A
0000008818,26519755882542A
0000008846,60201918182543A
0000008874,53268080382544A
00000088a2,65601649682550A
00000088c5,82697150482552A
00000088ec,78575429482553A
0000008913,10018776182554A
0000008937,79022836982565A
000000895c,51089680882570A
0000008987,80766326482575A
00000089b2,70450647982585A
00000089db,79673318682595A
0000008a02,85332482882600A
0000008a24,56217920882607A
0000008a42,82996532182608A
0000008a6a,58148486582615A
0000008a93,03975020682626A
0000008abb,53512067682627A
0000008ae3,30118898182633A
0000008b09,82201909582634A
0000008b28,09779242582638A
0000008b53,23866545882646A
0000008b7e,57078598782649B
0000008baa,38622636482651A
0000008bd8,39675414082652A
0000008c05,22177032582654A
0000008c2c,06565953982656A
0000008c58,65829612982657A
0000008c7e,87667085582658A
0000008ca8,10455123282664A
0000008cce,99303084882666A
0000008cf8,43837185182668A
0000008d21,59123369182670A
0000008d45,31441595782671A
0000008d69,55425826382672A
0000008d8c,11026695382677A
0000008dae,04347427882679B
0000008dd0,33788943382690A
0000008df8,59676833682693A
0000008e22,90630036182696A
0000008e4c,29513645182705A
0000008e76,67284896182710A
0000008ea1,05948898482715A
0000008ec5,90946651082725A
0000008ef1,58571987982726A
0000008f19,66148146582728A
0000008f3c,62961182282731A
0000008f68,58780564982735A
0000008f8b,38958292882742A
0000008fb0,50683283082746A
0000008fd8,03440670082747A
0000009002,36417518382757A
000000902b,84795857982759B
0000009057,02486040082760A
000000907b,78536511882775A
00000090a8,02653210182776A
00000090d4,03123319482784A
0000009100,14645443982785A
000000912c,25926235682787A
0000009155,60520117982800A
000000916f,72009475582803A
000000919d,44189163282805A
00000091cb,91355751482810A
00000091f6,40634557682820A
0000009222,81463241682926A
0000009249,26613462882928A
0000009270,20549949582938A
000000928e,53890887082941A
00000092b0,00792094582943A
00000092d3,71969836882945A
00000092f8,53801058882946A
0000009321,70186077382947A
000000934e,93835233982948A
000000937b,39488862082950A
0000009399,52688264582951A
00000093c7,42494346482952A
00000093ea,17917647482953A
0000009414,66131947782955A
000000943a,88888888888888B
000000946c,
121212121212121
0000009483,443796235001622
000000949c,44379623500162B
00000094b4,44379623500162C
